32385 46823 
0 345 1
1 22 1
1 35 1
1 10 1
1 39 1
1 95 1
1 27 1
1 21 1
1 2237 1
1 4675 1
1 147 1
1 1180 1
1 818 1
1 1752 1
1 1400 1
1 2306 1
1 1034 1
1 70 1
1 1764 1
1 129 1
1 6428 1
1 6438 1
1 6437 1
1 1780 1
1 364 1
1 6974 1
1 7058 1
1 3643 1
1 1214 1
1 3663 1
1 298 1
1 1831 1
1 7257 1
1 458 1
1 767 1
1 542 1
1 8055 1
1 4791 1
1 366 1
1 1237 1
1 2598 1
1 8733 1
1 853 1
1 1497 1
1 1931 1
1 1932 1
1 1500 1
1 4167 1
1 1501 1
1 4180 1
1 4190 1
1 4215 1
1 1954 1
1 1969 1
1 966 1
1 4306 1
1 1530 1
1 130 1
1 10634 1
1 2933 1
1 4561 1
1 4602 1
1 1126 1
1 4647 1
1 791 1
1 2970 1
1 263 1
1 56 1
1 799 1
1 1140 1
1 92 1
1 728 1
1 730 1
1 88 1
1 3075 1
1 396 1
1 267 1
1 3099 1
1 285 1
1 525 1
1 28 1
1 392 1
1 173 1
1 109 1
1 217 1
1 146 1
1 4688 1
1 3191 1
1 155 1
1 1694 1
1 1693 1
1 4687 1
1 2223 1
1 1696 1
1 13655 1
1 5545 1
1 13691 1
1 3208 1
1 2857 1
1 5562 1
1 1370 1
1 13701 1
1 899 1
1 5567 1
1 1371 1
1 5535 1
1 3201 1
1 13712 1
1 5582 1
1 13720 1
1 5574 1
1 163 1
1 13741 1
1 499 1
1 1702 1
1 13742 1
1 5590 1
1 5599 1
1 5591 1
1 13750 1
1 13775 1
1 2231 1
1 13788 1
1 1373 1
1 2233 1
1 269 1
1 5622 1
1 5621 1
1 3223 1
1 1014 1
1 636 1
1 13770 1
1 3224 1
1 13853 1
1 13865 1
1 13861 1
1 5633 1
1 13874 1
1 3226 1
1 3232 1
1 13897 1
1 3233 1
1 682 1
1 1707 1
1 13908 1
1 3235 1
1 5658 1
1 1711 1
1 13920 1
1 1712 1
1 5664 1
1 5666 1
1 237 1
1 13954 1
1 13952 1
1 13957 1
1 13958 1
1 2239 1
1 571 1
1 5669 1
1 902 1
1 13971 1
1 13960 1
1 5679 1
1 1714 1
1 14014 1
1 14003 1
1 3246 1
1 14032 1
1 1381 1
1 5695 1
1 5697 1
1 4689 1
1 1171 1
1 1382 1
1 5703 1
1 14061 1
1 5713 1
1 14053 1
1 5715 1
1 1719 1
1 1717 1
1 2242 1
1 3251 1
1 3252 1
1 5721 1
1 3247 1
1 3254 1
1 903 1
1 14090 1
1 3257 1
1 14100 1
1 3255 1
1 1018 1
1 1720 1
1 1172 1
1 14124 1
1 3260 1
1 14138 1
1 14137 1
1 3264 1
1 3266 1
1 14153 1
1 14150 1
1 14145 1
1 5745 1
1 527 1
1 1385 1
1 5729 1
1 1387 1
1 14190 1
1 1015 1
1 1390 1
1 14203 1
1 14224 1
1 5780 1
1 2251 1
1 1723 1
1 1389 1
1 739 1
1 5793 1
1 11812 1
1 2254 1
1 5802 1
1 1391 1
1 309 1
1 297 1
1 14235 1
1 378 1
1 1017 1
1 5808 1
1 1724 1
1 361 1
1 14284 1
1 14293 1
1 2258 1
1 573 1
1 5827 1
1 14281 1
1 5837 1
1 5855 1
1 5854 1
1 14362 1
1 4692 1
1 5850 1
1 5856 1
1 4728 1
1 248 1
1 14389 1
1 3298 1
1 14421 1
1 5877 1
1 207 1
1 170 1
1 14502 1
1 2267 1
1 907 1
1 1394 1
1 14527 1
1 718 1
1 104 1
1 67 1
1 744 1
1 1026 1
1 14544 1
1 3315 1
1 2269 1
1 3300 1
1 3316 1
1 5889 1
1 253 1
1 1022 1
1 5942 1
1 5941 1
1 14634 1
1 5946 1
1 1740 1
1 5944 1
1 14657 1
1 59 1
1 14681 1
1 1028 1
1 819 1
1 3331 1
1 3329 1
