71998 123379
0 71536 1
69326 69327 1
45912 45913 1
69326 69329 1
69326 69328 1
29010 29193 1
43398 5385 1
70078 70079 1
57797 66921 1
50302 50303 1
34175 34176 1
65507 65509 1
53529 54527 1
65507 65508 1
18649 19044 1
27498 45440 1
4306 4307 1
13755 69409 1
21973 3230 1
61889 61890 1
10275 18159 1
46815 46816 1
47380 47381 1
21985 9715 1
60866 60867 1
60866 60868 1
60866 60869 1
29388 29389 1
67673 70604 1
67673 70605 1
35762 35763 1
36994 37139 1
36388 36390 1
36388 36389 1
43078 43079 1
20670 43901 1
36671 36673 1
36671 36672 1
20670 43900 1
19510 58080 1
19510 58084 1
23711 31185 1
24371 963 1
29388 29390 1
45354 6092 1
3735 3739 1
3735 3737 1
3735 3738 1
3735 3736 1
52737 53765 1
3735 3745 1
52737 53766 1
3735 3744 1
3735 3743 1
52737 53764 1
27498 45499 1
3735 3742 1
3735 3741 1
3735 3740 1
13819 53155 1
52737 53769 1
52737 53767 1
52737 53768 1
12295 12296 1
12295 12298 1
12295 12297 1
12295 12299 1
35021 57297 1
35021 57298 1
45210 728 1
40136 59101 1
43390 9255 1
12666 46853 1
12666 46852 1
71148 71149 1
71148 71150 1
43198 43199 1
40136 59115 1
51810 52427 1
40136 59166 1
15306 29010 1
41544 41548 1
41544 41545 1
41544 41546 1
41544 41547 1
45291 45292 1
18166 18167 1
54090 65510 1
54090 65512 1
30491 30493 1
54090 65511 1
30491 30492 1
22407 22410 1
19320 19321 1
23084 4218 1
36017 36018 1
44374 58680 1
4980 4981 1
16909 53623 1
22407 22409 1
22407 22408 1
17696 17697 1
17696 17698 1
17696 17699 1
6395 6408 1
6395 6409 1
14817 7027 1
28159 51865 1
60581 60583 1
60581 60582 1
10481 10485 1
45467 45470 1
52026 54470 1
35773 35967 1
35773 35966 1
45467 45469 1
17427 67075 1
35773 35937 1
35773 35936 1
5463 5623 1
42417 42419 1
42417 42418 1
29010 29084 1
29010 29086 1
1929 1930 1
68758 68759 1
42417 42420 1
40910 40911 1
20624 23180 1
17427 67074 1
10481 10482 1
10481 10483 1
10481 10484 1
51477 51478 1
27498 45500 1
19939 19940 1
28005 5229 1
28005 5228 1
10146 63833 1
24324 63910 1
70767 70848 1
18616 38623 1
21176 2953 1
21176 2954 1
70767 70840 1
14635 14636 1
14635 14637 1
29010 29046 1
53557 54688 1
67153 67154 1
6111 6112 1
6111 6113 1
6111 6114 1
18616 38630 1
20457 20458 1
20457 20459 1
29010 29011 1
29010 29012 1
39589 845 1
12196 12197 1
21178 40455 1
21178 40454 1
20457 20463 1
38505 38506 1
28323 28324 1
58384 58385 1
24819 24820 1
12093 4401 1
13033 21041 1
22738 22739 1
52056 52058 1
52056 52057 1
43824 54199 1
1245 1247 1
1245 1246 1
28323 28390 1
17128 17129 1
31311 31519 1
29926 786 1
39906 39907 1
16458 71798 1
16458 71796 1
16458 71797 1
27209 33738 1
59558 59559 1
14186 68819 1
14186 68818 1
59558 59560 1
59558 59561 1
28044 5676 1
61304 61305 1
20311 20312 1
26679 26680 1
52714 52715 1
23431 28714 1
23431 28713 1
40478 40485 1
40478 40486 1
40478 40484 1
40478 40481 1
58755 58756 1
40478 40480 1
40478 40479 1
20808 20809 1
3735 3746 1
109 23 1
48583 48585 1
48583 48584 1
35021 57147 1
12546 17563 1
23796 4029 1
36994 37312 1
32727 32728 1
44620 44621 1
44620 44622 1
28808 37950 1
28392 28483 1
26902 26903 1
23987 4231 1
2019 2623 1
67249 6775 1
20309 21266 1
46807 46811 1
46807 46810 1
27019 51049 1
12042 12044 1
12042 12043 1
56268 56269 1
12588 53033 1
56268 56270 1
22490 3376 1
22490 3375 1
20319 2371 1
46807 46808 1
46807 46809 1
11927 11928 1
41975 41976 1
12588 53029 1
12588 53028 1
43824 54200 1
27019 51050 1
27019 51051 1
27019 51052 1
27019 51053 1
47611 65029 1
18578 18579 1
62609 62610 1
26360 26361 1
20299 20816 1
68428 68429 1
65597 65598 1
43759 45428 1
24878 25275 1
24878 25274 1
24878 25273 1
27718 28686 1
14775 14777 1
14775 14776 1
10065 22083 1
10065 22082 1
64552 64553 1
58141 58142 1
20890 60368 1
21772 21773 1
43759 45431 1
54310 54313 1
54310 54312 1
